feature,importance
CC_AMT_CREDIT_LIMIT_ACTUAL_max,331.5733654975891
CONTACT_INFO_COUNT,331.57118864059447
CC_AMT_DRAWINGS_POS_CURRENT_mean,327.4247537612915
ENTRANCES_MEDI,325.9862512588501
SOCIAL_CIRCLE_TOTAL_OBS,314.914805316925
YEARS_BEGINEXPLUATATION_AVG_MODE_DIFF,298.8765916824341
EXT_SOURCE_3_CUBED,295.81768264770506
INST_PAYMENT_DIFF_min,291.27865533828736
FLOORSMAX_AVG_MODE_DIFF,282.4107705116272
DOCUMENT_RATIO,277.2797416210175
INST_PAYMENT_RATIO_max,276.7009593963623
CC_CNT_DRAWINGS_POS_CURRENT_sum,269.5376514434814
ELEVATORS_AVG_MODE_DIFF,268.6845876216888
BUREAU_ACTIVE_LOANS_RATIO,259.8102429389954
NAME_TYPE_SUITE,259.49680004119875
DEF_60_CNT_SOCIAL_CIRCLE,254.28863344192504
FLOORSMIN_MODE,252.6997850418091
INCOME_SQUARED,251.05399293899535
AMT_REQ_CREDIT_BUREAU_MON,249.64802932739258
NONLIVINGAPARTMENTS_AVG_MEDI_DIFF,240.4200442314148
BUREAU_CREDIT_TYPE_nunique,234.9290641784668
PREV_AMT_GOODS_PRICE_sum,233.456201505661
CC_AMT_RECIVABLE_mean,232.66016488075257
YEARS_BEGINEXPLUATATION_AVG_MEDI_DIFF,231.17000875473022
ENTRANCES_AVG_MODE_DIFF,219.12551226615906
CNT_CHILDREN,214.83465175628663
NONLIVINGAPARTMENTS_AVG_MODE_DIFF,214.05244007110596
CC_SK_DPD_sum,212.1933897972107
CC_AMT_DRAWINGS_OTHER_CURRENT_max,211.63081040382386
FLOORSMAX_MEDI,205.8952844619751
YEARS_BUILD_MEDI,203.14119024276732
CC_SK_DPD_mean,196.7657612323761
NONLIVINGAPARTMENTS_MODE,196.51525387763976
ENTRANCES_AVG_MEDI_DIFF,191.21831879615783
CC_AMT_BALANCE_sum,188.83622608184814
AMT_REQ_CREDIT_BUREAU_WEEK,187.70248613357543
FLOORSMAX_AVG_MEDI_DIFF,186.10200972557067
PREV_DOWN_PAYMENT_RATIO_max,184.23803653717042
CC_AMT_DRAWINGS_OTHER_CURRENT_mean,169.68879356384278
EXT_SOURCE_1_CUBED,166.6201916694641
FLAG_PHONE,166.10346336364745
FLOORSMAX_MODE,164.8553087234497
ELEVATORS_MEDI,164.7916138648987
CC_AMT_TOTAL_RECEIVABLE_max,160.31971168518066
PREV_DOWN_PAYMENT_RATIO_min,148.57365436553954
BUREAU_CREDIT_DAY_OVERDUE_mean,146.0062481880188
FLOORSMIN_MEDI,140.1515344619751
FLOORSMIN_AVG_MODE_DIFF,139.65137095451354
CC_AMT_DRAWINGS_OTHER_CURRENT_sum,138.47134041786194
REGION_RATING_CLIENT,138.39456520080566
NONLIVINGAPARTMENTS_MEDI,138.23706159591674
CC_CNT_DRAWINGS_OTHER_CURRENT_mean,130.27835001945496
BASEMENTAREA_AVG_MEDI_DIFF,126.40076177120208
LIVE_CITY_NOT_WORK_CITY,125.21063437461854
FLAG_OWN_REALTY,124.68935585021973
CC_AMT_RECEIVABLE_PRINCIPAL_sum,122.08471031188965
ELEVATORS_MODE,121.97644414901734
CHILDREN_RATIO,115.54055557250976
CC_MONTHS_BALANCE_max,109.38465394973755
CC_AMT_RECIVABLE_sum,104.55327033996582
CC_SK_DPD_max,103.94014134407044
CC_TOTAL_OVERDUE,101.18371610641479
FONDKAPREMONT_MODE,92.19309988021851
EXT_SOURCE_2_CUBED,90.64767007827759
ELEVATORS_AVG_MEDI_DIFF,85.47525677680969
REG_CITY_NOT_WORK_CITY,83.92469367980956
BUREAU_CREDIT_DAY_OVERDUE_max,83.58990850448609
AMT_REQ_CREDIT_BUREAU_DAY,81.83903622627258
HOUSETYPE_MODE,73.72118978500366
CC_SK_DPD_DEF_sum,72.11889533996582
FLAG_DOCUMENT_8,62.228211879730225
FLAG_DOCUMENT_18,59.99070839881897
CC_MONTHS_BALANCE_size,57.347354125976565
BUREAU_CREDIT_DAY_OVERDUE_sum,56.97547192573548
RECENT_ENQUIRIES,48.986684513092044
CC_AMT_TOTAL_RECEIVABLE_mean,43.4856520652771
FLAG_EMAIL,36.35284190177917
LIVE_REGION_NOT_WORK_REGION,34.99944982528687
FLAG_DOCUMENT_6,31.264200115203856
REG_REGION_NOT_WORK_REGION,29.76651802062988
CC_AMT_TOTAL_RECEIVABLE_sum,29.017370414733886
CC_CNT_DRAWINGS_OTHER_CURRENT_max,25.924839878082274
CC_AMT_PAYMENT_TOTAL_CURRENT_min,24.52364206314087
CC_SK_DPD_DEF_max,23.398543930053712
REGION_RATING_DIFF,22.833184051513673
FLAG_DOCUMENT_5,19.713201808929444
FLAG_DOCUMENT_11,19.436427974700926
EXT_SOURCE_1_SQRT,19.219282150268555
FLOORSMIN_AVG_MEDI_DIFF,18.458531856536865
FLAG_DOCUMENT_21,15.566193771362304
CC_CNT_DRAWINGS_OTHER_CURRENT_sum,15.389285850524903
EXT_SOURCE_2_SQRT,15.287008094787598
EMERGENCYSTATE_MODE,15.214035797119141
BUREAU_CLOSED_CREDIT_DAY_OVERDUE_mean,14.042659950256347
REG_REGION_NOT_LIVE_REGION,12.0530442237854
AMT_REQ_CREDIT_BUREAU_HOUR,11.559715938568115
FLAG_DOCUMENT_13,11.414416122436524
EXT_SOURCE_3_SQRT,8.627832126617431
FLAG_DOCUMENT_16,5.711842060089111
BUREAU_CLOSED_CREDIT_DAY_OVERDUE_max,3.5309200286865234
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_19,0.0
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_15,0.0
FLAG_DOCUMENT_14,0.0
FLAG_CONT_MOBILE,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_12,0.0
